"date","year","month","day","total_downloads"
"2017-05-06",2017,"May",06,1149
"2017-05-07",2017,"May",07,1704
"2017-05-08",2017,"May",08,1418
"2017-05-09",2017,"May",09,867
"2017-05-10",2017,"May",10,700
"2017-05-11",2017,"May",11,771
"2017-05-12",2017,"May",12,904
"2017-05-13",2017,"May",13,433
"2017-05-14",2017,"May",14,1337
"2017-05-15",2017,"May",15,844
"2017-05-16",2017,"May",16,665
"2017-05-17",2017,"May",17,584
"2017-05-18",2017,"May",18,483
"2017-05-19",2017,"May",19,525
"2017-05-20",2017,"May",20,399
"2017-05-21",2017,"May",21,1391
"2017-05-22",2017,"May",22,1639
"2017-05-23",2017,"May",23,1276
"2017-05-24",2017,"May",24,1279
"2017-05-25",2017,"May",25,1162
"2017-05-26",2017,"May",26,842
"2017-05-27",2017,"May",27,2210
"2017-05-28",2017,"May",28,2171
"2017-05-29",2017,"May",29,2516
"2017-05-30",2017,"May",30,1806
"2017-05-31",2017,"May",31,1198
"2017-06-01",2017,"June",01,875
"2017-06-02",2017,"June",02,810
"2017-06-03",2017,"June",03,443
"2017-06-04",2017,"June",04,1557
"2017-06-05",2017,"June",05,1290
"2017-06-06",2017,"June",06,1424
"2017-06-07",2017,"June",07,838
"2017-06-08",2017,"June",08,868
"2017-06-09",2017,"June",09,869
"2017-06-10",2017,"June",10,700
"2017-06-11",2017,"June",11,1968
"2017-06-12",2017,"June",12,1705
"2017-06-13",2017,"June",13,2103
"2017-06-14",2017,"June",14,1431
"2017-06-15",2017,"June",15,1203
"2017-06-16",2017,"June",16,2100
"2017-06-17",2017,"June",17,1709
"2017-06-18",2017,"June",18,2255
"2017-06-19",2017,"June",19,2204
"2017-06-20",2017,"June",20,3511
"2017-06-21",2017,"June",21,3542
"2017-06-22",2017,"June",22,3683
"2017-06-23",2017,"June",23,1738
"2017-06-24",2017,"June",24,1315
"2017-06-25",2017,"June",25,2672
"2017-06-26",2017,"June",26,1964
"2017-06-27",2017,"June",27,2544
"2017-06-28",2017,"June",28,1964
"2017-06-29",2017,"June",29,1168
"2017-06-30",2017,"June",30,1004
"2017-07-01",2017,"July",01,2081
"2017-07-02",2017,"July",02,2633
"2017-07-03",2017,"July",03,1925
"2017-07-04",2017,"July",04,2143
"2017-07-05",2017,"July",05,1808
"2017-07-06",2017,"July",06,2513
"2017-07-07",2017,"July",07,1892
"2017-07-08",2017,"July",08,1034
