downloads_percent,downloads_total,interval
0.00047,966,2021-01-24
0.00108,2229,2021-01-25
0.00085,1755,2021-01-26
0.00053,1102,2021-01-27
0.00049,1001,2021-01-28
0.00056,1158,2021-01-29
0.00014,285,2021-01-30
0.00111,2298,2021-01-31
0.00131,2709,2021-02-01
0.00071,1460,2021-02-02
0.00053,1103,2021-02-03
0.00026,545,2021-02-04
0.00026,540,2021-02-05
0.00026,541,2021-02-06
0.00046,952,2021-02-07
0.00092,1896,2021-02-08
0.00082,1690,2021-02-09
0.00089,1835,2021-02-10
0.0006,1241,2021-02-11
0.00021,442,2021-02-12
0.00039,806,2021-02-13
0.00076,1572,2021-02-14
0.00082,1693,2021-02-15
0.00099,2040,2021-02-16
0.00048,999,2021-02-17
0.00041,855,2021-02-18
0.00027,556,2021-02-19
0.00027,551,2021-02-20
0.00033,677,2021-02-21
0.00121,2493,2021-02-22
0.00056,1146,2021-02-23
0.00086,1783,2021-02-24
0.00055,1140,2021-02-25
0.00025,507,2021-02-26
0.00032,660,2021-02-27
0.00015,312,2021-02-28
0.00141,2914,2021-03-01
0.00063,1296,2021-03-02
0.00037,763,2021-03-03
0.00035,719,2021-03-04
0.00021,437,2021-03-05
0.0003,621,2021-03-06
0.0005,1028,2021-03-07
0.00113,2336,2021-03-08
0.00032,661,2021-03-09
0.00066,1362,2021-03-10
0.00025,520,2021-03-11
0.00019,396,2021-03-12
0.00037,766,2021-03-13
0.00027,561,2021-03-14
0.00089,1838,2021-03-15
0.00046,955,2021-03-16
0.0004,832,2021-03-17
0.00051,1042,2021-03-18
0.00036,748,2021-03-19
0.0002,404,2021-03-20
0.00018,381,2021-03-21
0.0004,828,2021-03-22
0.00017,344,2021-03-23
0.00026,536,2021-03-24
0.00014,286,2021-03-25
0.0004,825,2021-03-26
0.00035,713,2021-03-27
0.00046,946,2021-03-28
0.0015,3097,2021-03-29
0.00085,1748,2021-03-30
0.00023,484,2021-03-31
0.00049,1018,2021-04-01
0.00045,932,2021-04-02
0.00045,926,2021-04-03
0.00016,339,2021-04-04
0.00072,1490,2021-04-05
0.00159,3282,2021-04-06
0.00068,1400,2021-04-07
0.00024,486,2021-04-08
0.00031,637,2021-04-09
0.00016,337,2021-04-10
0.00018,373,2021-04-11
0.00088,1821,2021-04-12
0.00044,906,2021-04-13
0.00029,605,2021-04-14
0.00031,639,2021-04-15
0.00034,702,2021-04-16
0.00021,425,2021-04-17
0.00014,283,2021-04-18
0.00091,1867,2021-04-19
0.00096,1983,2021-04-20
0.00042,875,2021-04-21
0.00027,566,2021-04-22
0.00044,902,2021-04-23
0.00035,724,2021-04-24
0.00017,341,2021-04-25
0.00114,2361,2021-04-26
0.00137,2827,2021-04-27
0.00085,1757,2021-04-28
0.00029,605,2021-04-29
0.0002,410,2021-04-30
0.00012,246,2021-05-01
0.00015,314,2021-05-02
0.00166,3415,2021-05-03
0.00153,3150,2021-05-04
0.00041,842,2021-05-05
0.00103,2129,2021-05-06
0.00134,2761,2021-05-07
0.00024,498,2021-05-08
0.00047,971,2021-05-09
0.00093,1918,2021-05-10
0.00061,1259,2021-05-11
0.00034,696,2021-05-12
0.00042,865,2021-05-13
0.00072,1480,2021-05-14
0.0007,1449,2021-05-15
0.00017,352,2021-05-16
