Date,Content,Video title,Video publish time,Views
2022-09-21,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",2
2022-09-22,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",1
2022-09-23,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-09-24,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",1
2022-09-25,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",2
2022-09-26,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-09-27,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-09-28,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",1
2022-09-29,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",1
2022-09-30,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-10-01,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-10-02,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",1
2022-10-03,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-10-04,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-10-05,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-10-06,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-10-07,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",1
2022-10-08,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",1
2022-10-09,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-10-10,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-10-11,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-10-12,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-10-13,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-10-14,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-10-15,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",1
2022-10-16,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",1
2022-10-17,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",2
